"id","sku","labeling_unit_1","labeling_quantity_1","labeling_unit_2","labeling_quantity_2","labeling_unit_3","labeling_quantity_3","labeling_unit_4","labeling_quantity_4","labeling_unit_5","labeling_quantity_5","created_at","updated_at","customer_id"
"156","05007K","Case",1,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.492081-04","2024-06-09 00:48:59.492081-04",1
"157","0MISC INGREDIENTS 2023/10/16","Pallet",1,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.55903-04","2024-06-09 00:48:59.55903-04",1
"158","0MISC INGREDIENTS 2024/02/29","Pallet",1,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.564643-04","2024-06-09 00:48:59.564643-04",1
"159","219146-OKZ-LABEL","Each",1,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.564643-04","2024-06-09 00:48:59.564643-04",1
"160","3PACK-BOXES","Each",1,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.565664-04","2024-06-09 00:48:59.565664-04",1
"161","6PACK","Each",1,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.566648-04","2024-06-09 00:48:59.566648-04",1
"162","6pack boxes","Each",1,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.566648-04","2024-06-09 00:48:59.566648-04",1
"163","6PACK-PARTITION","Each",1,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.567651-04","2024-06-09 00:48:59.567651-04",1
"164","6PKCASE","Pallet",1,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.568649-04","2024-06-09 00:48:59.568649-04",1
"165","ABO-000","Each",1,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.568649-04","2024-06-09 00:48:59.568649-04",1
"166","ABO-001","Each",1,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.56966-04","2024-06-09 00:48:59.56966-04",1
"167","ABO-002","Each",1,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.56966-04","2024-06-09 00:48:59.56966-04",1
"168","ABO-003","Each",1,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.570727-04","2024-06-09 00:48:59.570727-04",1
"169","ABO-004","Each",1,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.570727-04","2024-06-09 00:48:59.570727-04",1
"170","ABO-005","Each",1,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.571773-04","2024-06-09 00:48:59.571773-04",1
"171","ABO-006","Each",1,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.571773-04","2024-06-09 00:48:59.571773-04",1
"172","ABO-007","Each",1,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.572758-04","2024-06-09 00:48:59.572758-04",1
"173","ABO-008","Each",1,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.573758-04","2024-06-09 00:48:59.573758-04",1
"174","ABO-009","Each",1,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.573758-04","2024-06-09 00:48:59.573758-04",1
"175","ABO-011","Case",12,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.574757-04","2024-06-09 00:48:59.574757-04",1
"176","ABO-012","Case",12,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.574757-04","2024-06-09 00:48:59.574757-04",1
"177","ABO-012-01","Case",12,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.575756-04","2024-06-09 00:48:59.575756-04",1
"178","ABO-012-06","Case",1,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.576813-04","2024-06-09 00:48:59.576813-04",1
